population,responder_n,non_responder_n,responder_median,non_responder_median,u_statistic,p_value,adjusted_p_value,significant
b_cell,993,975,9.4323,9.7884,459968.0,0.055671864662198346,0.13917966165549586,False
cd8_t_cell,993,975,24.728,24.6031,478175.5,0.6390575277665635,0.6390575277665635,False
cd4_t_cell,993,975,30.2206,29.6576,515277.5,0.013339773203683436,0.06669886601841718,False
nk_cell,993,975,14.5093,14.7991,464546.5,0.12106031279217618,0.2017671879869603,False
monocyte,993,975,19.6097,19.9423,466509.0,0.1631261907294168,0.203907738411771,False
